a52dec 0.7.4-11
ruby-rspec-core 3.8.0-3
ruby-rspec-expectations 3.8.1-3
ruby-rspec-mocks 3.8.0-3
ruby-rspec-support 3.8.0-3
ruby-term-ansicolor 1.7.1-1
ruby-tins 1.16.3-3
rubygems 3.1.4-1
run-parts 4.8.6.1-2
runc 1.0.0rc92-1
rygel 0.38.4-1
sane 1.0.31-1
sbc 1.4-2
sdl 1.2.15-14
sdl2 2.0.12-2
sed 4.8-1
semver 7.3.2-1
serd 0.30.4-1
shaderc 2020.0-1
shadow 4.8.1-4
shared-color-targets 0.1.7-3
shared-mime-info 2.0+1+g6bf9e4f-2
shotwell 2:0.30.10-2
simple-scan 3.36.6-1
slang 2.3.2-2
sord 0.16.4-1
sound-theme-freedesktop 0.8-4
soundtouch 2.1.2-2
spandsp 0.0.6-3
speex 1.2.0-3
speexdsp 1.2.0-2
spirv-tools 2020.4-1
spotify 1:1.1.10.546-4
sqlite 3.33.0-2
sratom 0.6.4-1
srt 1.4.1-2
startup-notification 0.12-7
sudo 1.9.2-1
sushi 3.34.0+19+g331d9b7-1
sysfsutils 2.1.0-11
systemd 246.4-1
systemd-libs 246.4-1
systemd-sysvcompat 246.4-1
t1lib 5.1.2-8
taglib 1.11.1-4
tar 1.32-3
tdb 1.4.3-2
teams 1.3.00.16851-1
telegram-desktop 2.3.2-2
telepathy-glib 0.24.1-4
texinfo 6.7-3
thin-provisioning-tools 0.9.0-1
tidy 5.7.16-2
tigervnc 1.11.0-2
timezonemap 0.4.5.1-1
tmux 3.1_b-1
totem-pl-parser 3.26.5-1
tracker 2.3.5-1
tracker-miners 2.3.4-1
tslib 1.22-1
ttf-arphic-uming 0.2.20080216.1-8
ttf-indic-otf 0.2-11
ttf-roboto 2.138-4
twolame 0.4.0-2
tzdata 2020a-1
udisks2 2.9.1-1
umockdev 0.14.3-1
unzip 6.0-14
upower 0.99.11-3
usbmuxd 1.1.1-1
usbutils 012-2
util-linux 2.36-3
v4l-utils 1.20.0-1
vala 0.48.10-1
vid.stab 1.1-3
vino 3.22.0+72+g3fe1f12-1
visual-studio-code-bin 1.49.0-1
vlc 3.0.11.1-2
vmaf 1.5.3-1
volume_key 0.3.12-3
