7zip 24.09-3
qt6-declarative 6.8.3-1
qt6-imageformats 6.8.3-1
qt6-svg 6.8.3-1
qt6-translations 6.8.3-1
qt6-wayland 6.8.3-1
raptor 2.0.16-6
rar 7.11-1
rav1e 0.7.1-1
re2 1:20240702-4
recode 3.7.15-1
redis 7.2.5-1
reflector 2023-3
rest 0.8.1+r4+ge5ee6ef-3
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rsync 3.4.1-2
rtkit 0.13-3
ruby 3.3.7-2
ruby-bundled-gems 3.3.7-2
ruby-bundler 2.6.0-3
ruby-diff-lcs 1.5.1-3
ruby-irb 1.13.1-2
ruby-manpages 0.6.1-6
ruby-minitest 5.22.3-2
ruby-optimist 3.1.0-3
ruby-paint 2.3.0-4
ruby-power_assert 2.0.4-1
ruby-rainbow 3.1.1-3
ruby-rake 13.1.0-1
ruby-rdoc 6.6.3.1-2
ruby-rexml 3.4.1-1
ruby-rspec 3.13.0-2
ruby-rspec-core 3.13.1-1
ruby-rspec-expectations 3.13.3-1
ruby-rspec-mocks 3.13.1-2
ruby-rspec-support 3.13.1-4
ruby-stdlib 3.3.7-2
ruby-term-ansicolor 1.11.2-1
ruby-test-unit 3.6.7-1
ruby-tins 1.37.1-1
rubygems 3.5.22-3
run-parts 5.17-1
runc 1.2.6-1
rust 1:1.85.1-1
sbc 2.0-2
sddm 0.21.0-6
sddm-kcm 6.3.3-1
sdl2-compat 2.32.52-1
sed 4.9-3
semver 7.7.1-1
serd 0.32.4-1
shaderc 2025.1-1
shared-mime-info 2.4-1
shotwell 2:0.32.10-1
signon-kwallet-extension 24.12.3-1
signon-plugin-oauth2 0.25-3
signon-ui 0.17+20231016-3
signond 8.61-3
slack-desktop 4.43.43-1
smartmontools 7.4-2
smbclient 2:4.22.0-1
snappy 1.2.1-2
socat 1.8.0.3-1
solid5 5.116.0-1
sonnet5 5.116.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
source-highlight 3.1.9-14
spectacle 1:6.3.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.309.0-1
spotify 1:1.2.59.514-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
step-cli 0.28.5-1
sudo 1.9.16.p2-2
svt-av1 3.0.1-1
syndication5 5.116.0-1
syntax-highlighting5 5.116.0-1
sysfsutils 2.1.1-2
systemsettings 6.3.3-1
taglib 2.0.2-1
talloc 2.4.3-1
